,user_lifetime,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
user_lifetime,1.0,0.3410078109064826,-0.1684466372581239,-0.1658901583987359,-0.5208860756634102,-0.4180406463452457,-0.06667279392982874,-0.02242039708535824,0.13109013262123567,-0.09109652924705978,-0.12613406453457038,-0.18530293125784766,-0.15301906988677128,-0.16669268656001987,-0.16405347795190106,-0.21122372068125222,0.607300284750961,-0.05443341814056566,-0.041326489220924724,-0.042583010513558166,-0.15492053168612965,-0.1565554321159517,-0.1454645577961956,-0.05042623718070386,-0.04988310918423201,-0.04939543364103977,-0.12999602102267147,-0.0960126300715349,-0.10167359425037495,0.5496130353743242,-0.06683070238130183,-0.0656202099339276,-0.10890103185243936,-0.10907066958986726,-0.05537772874325809,-0.05101710855610942,-0.19396783440486592,-0.03500555732175411,-0.10283334700703774,0.10822616736630439,-0.16641746780466837,-0.18842116266428457,-0.19608137751947038,-0.05636412427823481,-0.17252179634171444,-0.06177877041927645,-0.15356711040838844,-0.08481640603699676,-0.13561166173021735,-0.07244465710669017,-0.025349304328917598
user_no_outgoing_activity_in_days,0.3410078109064826,1.0,-0.08892340179242782,-0.09765356527621978,-0.5095379123106311,-0.2630283381984318,-0.04343842221560074,-0.18655353849977477,0.28437030975190575,-0.11946230433714886,-0.09356046286919333,-0.11023348588681935,-0.09008960950400002,-0.09701846751295,-0.10114186414058106,-0.1287457322643828,0.6300554458239795,-0.031623340257641824,-0.02385275403127836,-0.02457591379242476,-0.08969957441567168,-0.09079033440543977,-0.08322995645586122,-0.028203453816551826,-0.028955403981761475,-0.02866142388253809,-0.07638038618138372,-0.055779949016454396,-0.061200355266391525,0.317506664028719,-0.038962260893330984,-0.038686053032298884,-0.06322960043827276,-0.063843646029883,-0.03348113722451398,-0.031163002187708327,-0.1269842321424375,-0.020012647866628104,-0.0536782191945915,0.04773527018466139,-0.10956942986315506,-0.10669049109380487,-0.10528746317346985,-0.031423256681831255,-0.0921098125283654,-0.0343995243832676,-0.08208685604916462,-0.04490390458715692,-0.07064932943381103,-0.04086676736961825,-0.014326722721894768
user_account_balance_last,-0.1684466372581239,-0.08892340179242782,1.0,0.09558918170623862,0.12830956727339987,0.13758078382387443,0.03711763164528353,0.0702452040178644,-0.08733720815703767,0.020875192238214123,0.21128133879733016,0.022457066621093355,0.1016309665752906,0.07824939538544556,0.1246056069696501,0.12410768367205238,-0.13839514634117905,0.06773010673621702,0.07552785319833862,0.0774306561923424,-0.0006530484124678843,0.04492819990274891,0.04308461253336997,0.03624330997440066,0.11477398126673796,0.08241342955964519,0.02065691668379153,0.02699360547964352,0.031482002565055484,-0.15040675153336772,0.04053510535201304,0.009768184787990856,0.014978573559585567,0.01972574599707877,0.05375282755037382,0.07477330955959025,0.027009892229299715,0.009970320724810555,0.0504406377271058,-0.02974413747983061,0.06756899999441143,0.2360581466517767,0.10951615441422571,0.10418656309714333,0.07790107983998051,0.10631512208430809,0.020810420123846558,0.04042722659830741,0.01487292797236012,0.06860727032953241,0.06633408387249777
user_spendings,-0.1658901583987359,-0.09765356527621978,0.09558918170623862,1.0,0.17636415471673952,0.28614905836492227,0.17350344006127122,0.35392613660830946,-0.2874077871333396,0.666458015463385,0.8287093863395325,0.5968946811579328,0.8335721305471869,0.7100507289727208,0.5752962528927847,0.497303669115676,-0.14366092176785497,0.19690745902815468,0.206910553824842,0.19643184390665824,0.4762613386760313,0.6124454712309573,0.54275306729571,0.15477682983098803,0.2824461794947518,0.22933898392790225,0.49476357270588156,0.6202525803586507,0.2250815331669988,-0.24738887298505488,0.1501753390883131,0.12226259153225763,0.42459706915346984,0.43226199867459575,0.18541999854149172,0.20280068216412134,0.4411915342591369,0.09262689514746653,0.08660516267659839,-0.16503196369930206,0.6645507714935392,0.8164008264298344,0.6339816591492933,0.18436564319770748,0.4999009708568641,0.21603559924402588,0.44689961078368384,0.14540405399713816,0.38204592431024187,0.18625294073367493,0.17337586447035455
user_has_outgoing_calls,-0.5208860756634102,-0.5095379123106311,0.12830956727339987,0.17636415471673952,1.0,0.41003757540485564,0.0705449873202833,0.13402817903491113,-0.20477411836165588,0.14259803968830337,0.16793735994022824,0.20663071814426592,0.1686236183998079,0.18147134277149,0.19144710380661664,0.24381102588135758,-0.774347391302022,0.05937975211138092,0.044819667703184365,0.046121164698666096,0.16774027530496985,0.1696093076968949,0.15543630204994816,0.05310206451954789,0.05448868829511857,0.05375509181658197,0.13056487782160567,0.09283601053493301,0.09395353089287388,-0.4563599846059768,0.06426290536203179,0.06434527994345975,0.10598959718590442,0.10752704651936726,0.058675780612600155,0.05467141654876415,0.2167325041785342,0.031981536408492495,0.08760638327311981,-0.0839248365059619,0.17111547029202584,0.18224800367358313,0.19107494209313336,0.056503827645763685,0.16711216262298145,0.06194044382858582,0.13596684347097932,0.07244929362920938,0.11409166451719303,0.06732511238788395,0.02137454479210938
user_has_outgoing_sms,-0.4180406463452457,-0.2630283381984318,0.13758078382387443,0.28614905836492227,0.41003757540485564,1.0,0.13374351878880045,0.35207845042841596,-0.4266646135001089,0.29020705556811904,0.2778111492834952,0.2685762969095089,0.23375780983926817,0.24739603187422982,0.23559118220679057,0.2901492440857083,-0.3678786986347701,0.09270379147733061,0.0692037095039674,0.07187768400518707,0.23115602986639922,0.23656942084039795,0.21290768903042598,0.07906496990985491,0.08624426271778533,0.08671017319123238,0.28260365971854445,0.2069669793814598,0.23142657253706822,-0.8053682771731654,0.14427062372011426,0.14359017223051626,0.23423533669976157,0.23634375507481745,0.1242440603135127,0.11582908452217228,0.32770704036951503,0.07124135827371883,0.1379553354629577,-0.15236370153537968,0.290734153627003,0.2868372726323095,0.24632432111812227,0.08176989885743585,0.21854867565778677,0.09377099445741675,0.2845636161642298,0.157817476122417,0.2426498438379798,0.14350001221111572,0.04206739761299743
user_use_gprs,-0.06667279392982874,-0.04343842221560074,0.03711763164528353,0.17350344006127122,0.0705449873202833,0.13374351878880045,1.0,0.12144562662648477,-0.10952148996471524,0.14862828186721275,0.1357913494301443,0.10078490982085747,0.08521891511767413,0.08619550384617755,0.07719405742538701,0.08130675602943767,-0.061167168713514054,0.021139676860643882,0.01429009538471299,0.015648298782655397,0.07635524658477802,0.06949670348939926,0.06589550948133435,0.018666135141070014,0.023416282044081246,0.01950470862158368,0.13488185765542174,0.08979197710229977,0.06633453743478779,-0.11596575364841041,0.07922741597726812,0.05133136229777069,0.10139462205248584,0.10112847135871678,0.03481375819154833,0.031556036808240935,0.17175107500072279,0.04212404855496581,0.024142902280876524,-0.7545881216509388,0.1511272180787256,0.14406928945705386,0.0870780038814168,0.02055584848692504,0.0704788385608928,0.02349224730109415,0.12780120357359592,0.07611220161712745,0.09733042719406168,0.04328031957971515,0.27528139805262497
user_does_reload,-0.02242039708535824,-0.18655353849977477,0.0702452040178644,0.35392613660830946,0.13402817903491113,0.35207845042841596,0.12144562662648477,1.0,-0.6434228829639308,0.6321549434482189,0.49392886636825584,0.3363681224048398,0.3297200651777932,0.3446582476269011,0.2926749157472741,0.33269131936456503,-0.017082350118195994,0.09390793629186674,0.07819257286683438,0.0774950990015618,0.3004438884898227,0.32343617395035673,0.2978289866136418,0.07686543729019991,0.09424217183752295,0.0900258225397098,0.27245539423447945,0.19435204987955956,0.1462914404159018,-0.26085148122521373,0.11111534175593903,0.11491164695021815,0.21443336242028765,0.21626142511665739,0.10059730662347811,0.09532954467664354,0.31536735662001764,0.07349002463505752,0.07090141099993962,-0.11510172995784601,0.40933182228905307,0.36583435736313513,0.330664807446957,0.07951220688564929,0.29485409933961615,0.0897169843475885,0.2595202463499678,0.11666317543221916,0.20897857950951948,0.1045104358360012,0.056140637381991466
reloads_inactive_days,0.13109013262123567,0.28437030975190575,-0.08733720815703767,-0.2874077871333396,-0.20477411836165588,-0.4266646135001089,-0.10952148996471524,-0.6434228829639308,1.0,-0.41153108613849804,-0.32054974376953027,-0.2813041074737438,-0.2642954026512343,-0.27700603898174875,-0.2572259017922737,-0.3001861398417701,0.10061640884542454,-0.08655193957057047,-0.06868453519065747,-0.06970361036920374,-0.24524965450576588,-0.2614323934556853,-0.23925550445932206,-0.07337020502642279,-0.08449543445098825,-0.08247766042260407,-0.22793340834617576,-0.16456043638444892,-0.14245235047487287,0.4179955049234049,-0.10617770202061973,-0.10183551101204921,-0.18367152223713332,-0.18652076478287863,-0.09557949724464208,-0.08950795107311285,-0.2802778877864336,-0.059953959899235076,-0.09652573497748046,0.12620323633220645,-0.3741346628594306,-0.3610066184204337,-0.302022739855764,-0.08787564628670773,-0.26693951359421303,-0.09783948952537908,-0.2443969408665532,-0.1225583781382567,-0.20470869326347135,-0.11467996196825998,-0.04501194773598179
reloads_count,-0.09109652924705978,-0.11946230433714886,0.020875192238214123,0.666458015463385,0.14259803968830337,0.29020705556811904,0.14862828186721275,0.6321549434482189,-0.41153108613849804,1.0,0.7159554068996967,0.5879168878000717,0.6134844840512481,0.6056215153583469,0.3683507250779598,0.3855945405982181,-0.08116812968989312,0.09359228356142618,0.07618361244710985,0.07736943902166832,0.5177494016568371,0.5532163338122928,0.4992841201089313,0.08832620657201654,0.09883323009572437,0.0948878527288585,0.4484361336942677,0.37299851168889503,0.16753494229540614,-0.23126665799806453,0.14038823495649982,0.14788461508195455,0.36461045927847074,0.36601557561541703,0.09584534489931053,0.08987424730911163,0.49167085533897054,0.1276636883762073,0.05057778409359622,-0.14398563961624947,0.7689235936132657,0.5975443107395245,0.546089988054364,0.07800799147863066,0.45770634676554134,0.09441753220835522,0.4091975314938433,0.14214511539693148,0.33798722665423175,0.10296407910857676,0.1154874382019017
reloads_sum,-0.12613406453457038,-0.09356046286919333,0.21128133879733016,0.8287093863395325,0.16793735994022824,0.2778111492834952,0.1357913494301443,0.49392886636825584,-0.32054974376953027,0.7159554068996967,1.0,0.5241042202050091,0.7012489204893355,0.6042851755803348,0.47611711614898816,0.41813748105379805,-0.13483595463497233,0.16328432837230267,0.1576247034357983,0.15402102507490317,0.4061616170306639,0.5157197809391785,0.45551011309576256,0.12979075030023277,0.21094029707367737,0.18040238377552437,0.44308266611512304,0.5536212824252595,0.20759494063603567,-0.2342695530270259,0.1388854561838693,0.10358805887627538,0.37295671852835777,0.37965740892590283,0.15700145933736356,0.16549429023941284,0.4266904121090562,0.1535812883473846,0.075815527631492,-0.13246436088738373,0.643047907354526,0.7825523977431893,0.5643663771085078,0.1487963164511606,0.45001531579161946,0.1727243366828041,0.3991520093620026,0.1297942353652832,0.3383502430283665,0.15440477619717896,0.09753174947501991
calls_outgoing_count,-0.18530293125784766,-0.11023348588681935,0.022457066621093355,0.5968946811579328,0.20663071814426592,0.2685762969095089,0.10078490982085747,0.3363681224048398,-0.2813041074737438,0.5879168878000717,0.5241042202050091,1.0,0.6582012922992184,0.7113809117434455,0.3401683100301953,0.386666880807796,-0.16539739517322422,0.18143251735466487,0.11237651434008837,0.11978745623606735,0.8172184887526899,0.6696353558372107,0.6257992108767821,0.3215219675500868,0.15386390011236478,0.1561194962231847,0.2986653330798319,0.19050084598486675,0.09608712796386597,-0.24515046234027393,0.11414128669437724,0.09762543697272613,0.2144428397742853,0.21211495967667793,0.083724528459125,0.07302518961719671,0.4986245658579412,0.06089168662480039,0.0783782838830112,-0.11413430912655637,0.5615214756763867,0.5355009844152755,0.6540090731787706,0.12105919541025127,0.5844085974231256,0.15280129528187644,0.28550764580369464,0.1132332829625555,0.20699679636056048,0.08920467795837096,0.060512120906861575
calls_outgoing_spendings,-0.15301906988677128,-0.09008960950400002,0.1016309665752906,0.8335721305471869,0.1686236183998079,0.23375780983926817,0.08521891511767413,0.3297200651777932,-0.2642954026512343,0.6134844840512481,0.7012489204893355,0.6582012922992184,1.0,0.8497308795868657,0.6737798771942751,0.5883120245640853,-0.13508524843448505,0.22263255375474467,0.24404659432878026,0.23106131648349504,0.5596055051569474,0.7327356953714853,0.653575826720077,0.1677648044362006,0.3210220333396406,0.25752828580934695,0.21667959675383097,0.15357210026776075,0.09536898794777832,-0.20856806991114488,0.07557565059940072,0.05564510823148393,0.13268072729248018,0.13242880905873244,0.10855826425966932,0.11658568414289605,0.3673879419381433,0.04864790073962888,0.07827921090317319,-0.09517436832441308,0.5917340538175196,0.6995978016074552,0.7456363719914776,0.2140554621255413,0.5893051237821916,0.23932341552844244,0.20229115963191682,0.07506726625514397,0.12292875685938055,0.11180755154785206,0.0748915839285733
calls_outgoing_duration,-0.16669268656001987,-0.09701846751295,0.07824939538544556,0.7100507289727208,0.18147134277149,0.24739603187422982,0.08619550384617755,0.3446582476269011,-0.27700603898174875,0.6056215153583469,0.6042851755803348,0.7113809117434455,0.8497308795868657,1.0,0.4880481850730047,0.6617317310949616,-0.14541315296185212,0.16575024929156415,0.15067795399048756,0.16413796483160997,0.6652792168895113,0.8128743182318796,0.8788650029779348,0.12658318977163205,0.19702169229324584,0.21979358045246167,0.24085455707832296,0.13830335625504733,0.07743993391501978,-0.22105663252528235,0.09414467283955581,0.08366945804163639,0.14546996600706522,0.14458040000943448,0.08678430076234768,0.07611352149734946,0.3863492175538999,0.04135086147162248,0.05362786396518472,-0.09780312397289398,0.574288907239522,0.6080083152550699,0.8778959940575239,0.16158097021042592,0.7809158650617172,0.20427929781661988,0.22529138911611002,0.09604429941576469,0.134146866330038,0.09223394833637279,0.05400146343954619
calls_outgoing_spendings_max,-0.16405347795190106,-0.10114186414058106,0.1246056069696501,0.5752962528927847,0.19144710380661664,0.23559118220679057,0.07719405742538701,0.2926749157472741,-0.2572259017922737,0.3683507250779598,0.47611711614898816,0.3401683100301953,0.6737798771942751,0.4880481850730047,1.0,0.6941034587651908,-0.15218061790179802,0.17074940182255638,0.2482071593027607,0.19985649636289254,0.2434360806387075,0.39514123761915415,0.3462801985433306,0.13268544887194086,0.31810814787746594,0.2111857789453712,0.14846233061421701,0.12807888641428275,0.10682538550821243,-0.21819966747684622,0.06424243497352333,0.03470798116357664,0.09341987760264613,0.09393334680415691,0.11008912295456634,0.13110102308155833,0.253679810135926,0.04585269816715494,0.09220044633838662,-0.08484999723444389,0.36115869883119517,0.4716906127444807,0.4422851623595456,0.1832195286058548,0.33168509245895755,0.19639668637117041,0.13674073076319454,0.06452375664336404,0.0865756386654917,0.1126931837274291,0.07044520938179777
calls_outgoing_duration_max,-0.21122372068125222,-0.1287457322643828,0.12410768367205238,0.497303669115676,0.24381102588135758,0.2901492440857083,0.08130675602943767,0.33269131936456503,-0.3001861398417701,0.3855945405982181,0.41813748105379805,0.386666880807796,0.5883120245640853,0.6617317310949616,0.6941034587651908,1.0,-0.1936081867010047,0.12610610541867473,0.13613928849861626,0.14668734316915386,0.3341543051491285,0.547461349027415,0.5639920047992021,0.09585312243963744,0.1742774917622335,0.1987035479616374,0.1787295633570239,0.10678028760481101,0.07791568798008623,-0.2703704252610744,0.08210163911484182,0.06778999336399279,0.10731003743468365,0.10746238434251086,0.09351797389522008,0.08213090351566103,0.26514682752008323,0.036764991462887565,0.06867290420824612,-0.09114619488799358,0.3667239514554249,0.4228604438243453,0.5826600916288955,0.14550209302088715,0.5075059357270223,0.1856726457527573,0.16643422816409714,0.08490362520046675,0.09839746963680349,0.09983425029666709,0.040675429081447466
calls_outgoing_inactive_days,0.607300284750961,0.6300554458239795,-0.13839514634117905,-0.14366092176785497,-0.774347391302022,-0.3678786986347701,-0.061167168713514054,-0.017082350118195994,0.10061640884542454,-0.08116812968989312,-0.13483595463497233,-0.16539739517322422,-0.13508524843448505,-0.14541315296185212,-0.15218061790179802,-0.1936081867010047,1.0,-0.04741458446953423,-0.03574063405311822,-0.03681297082607666,-0.134454369907667,-0.13602574248137936,-0.12468629854145868,-0.04236501626171029,-0.04344182850591329,-0.04293337697349112,-0.10989179744549658,-0.07892722860194393,-0.08469581599217342,0.4589778481804035,-0.05538740822040437,-0.0548289405260276,-0.09033649011859146,-0.09230473956166076,-0.04887119133720719,-0.04553116634057852,-0.1870089028567968,-0.02755583093837533,-0.07867413594703332,0.08623559014378195,-0.13896659227028588,-0.15673408313044337,-0.15823814804874223,-0.047168488188033465,-0.13831164498784262,-0.05162001497121176,-0.11941454090266096,-0.06417290635549358,-0.10246269754682344,-0.058809079183370166,-0.01849362210119494
calls_outgoing_to_onnet_count,-0.05443341814056566,-0.031623340257641824,0.06773010673621702,0.19690745902815468,0.05937975211138092,0.09270379147733061,0.021139676860643882,0.09390793629186674,-0.08655193957057047,0.09359228356142618,0.16328432837230267,0.18143251735466487,0.22263255375474467,0.16575024929156415,0.17074940182255638,0.12610610541867473,-0.04741458446953423,1.0,0.7024270403285058,0.7472117433599483,0.042200523367867525,0.04027172053207721,0.03572860048510507,0.4764846300531462,0.6680165513816266,0.6610270320309365,0.05355055617799691,0.055298754439186984,0.03617671223968657,-0.08091572387946529,0.03990690363250206,0.00011535603826109897,0.00454510709673789,0.004928906004627997,0.354712125309346,0.30568948911242705,0.12587561710136103,0.010235699278610103,0.2827735073659958,-0.028527978577451343,0.12680257701583353,0.17015862794857117,0.1531869463302144,0.5990445997544326,0.07571209070888757,0.519239752364766,0.05345308581097547,0.0410185602575142,0.01848961542087234,0.29412328124813597,0.03650330014004471
calls_outgoing_to_onnet_spendings,-0.041326489220924724,-0.02385275403127836,0.07552785319833862,0.206910553824842,0.044819667703184365,0.0692037095039674,0.01429009538471299,0.07819257286683438,-0.06868453519065747,0.07618361244710985,0.1576247034357983,0.11237651434008837,0.24404659432878026,0.15067795399048756,0.2482071593027607,0.13613928849861626,-0.03574063405311822,0.7024270403285058,1.0,0.9130950355115897,0.015291900648693032,0.029377644801763064,0.028534941309607275,0.3275359871541106,0.8165284401014319,0.6414113792110391,0.03898603123903764,0.04809042213001077,0.03624545724442001,-0.05932298190061809,0.01860311152484021,-0.0024827750915083924,0.00382601411209652,0.00419862292915782,0.2880448472899998,0.2707650464333534,0.08726362028451735,0.009465892544849402,0.2168792399155915,-0.02103442524438687,0.10169995157954073,0.15773348113933983,0.13264915355364787,0.6871207982622424,0.06543295383092276,0.48162895385235616,0.037726592407618734,0.024367226156119966,0.014818429403838903,0.23055332266444337,0.03033664406399545
calls_outgoing_to_onnet_duration,-0.042583010513558166,-0.02457591379242476,0.0774306561923424,0.19643184390665824,0.046121164698666096,0.07187768400518707,0.015648298782655397,0.0774950990015618,-0.06970361036920374,0.07736943902166832,0.15402102507490317,0.11978745623606735,0.23106131648349504,0.16413796483160997,0.19985649636289254,0.14668734316915386,-0.03681297082607666,0.7472117433599483,0.9130950355115897,1.0,0.01627712628780526,0.03190357010938285,0.029049220998393504,0.34622501100591335,0.7532027232342732,0.7072901338798289,0.041714301194686755,0.046133602526705314,0.024327528619713944,-0.06216909199998604,0.012655337452586525,-0.004724093261711177,0.004994123186141211,0.005389631405947054,0.31238754375746325,0.2571781790268187,0.09114816596887214,0.010440400371995747,0.22691023208193764,-0.022482500848019674,0.10432577159016276,0.15847620281469976,0.140381929357144,0.7568339185758544,0.06515217387550565,0.5320657866592354,0.04075403161511152,0.023707853936088433,0.01661022764173893,0.25012141150701644,0.03171782849980768
calls_outgoing_to_offnet_count,-0.15492053168612965,-0.08969957441567168,-0.0006530484124678843,0.4762613386760313,0.16774027530496985,0.23115602986639922,0.07635524658477802,0.3004438884898227,-0.24524965450576588,0.5177494016568371,0.4061616170306639,0.8172184887526899,0.5596055051569474,0.6652792168895113,0.2434360806387075,0.3341543051491285,-0.134454369907667,0.042200523367867525,0.015291900648693032,0.01627712628780526,1.0,0.7513870570284373,0.7194582612376837,0.03531923694260476,0.013869382779960379,0.012890837528500157,0.2306781466496961,0.11076403645822787,0.06129752874308026,-0.2079410697098052,0.10061039062050113,0.11322938831391319,0.1555770877370535,0.1522391500710689,-0.00291921101447353,-0.0033736876217636824,0.39418121779321363,0.024517262579896764,-0.0031156792957905597,-0.09020585057851527,0.46934062079072164,0.4089195902690764,0.5966828332206864,0.029821752712576442,0.6352543357310763,0.025803828515050496,0.2145483396916138,0.09959320431198987,0.14250200914580832,0.009111722949780353,0.025829269973162882
calls_outgoing_to_offnet_spendings,-0.1565554321159517,-0.09079033440543977,0.04492819990274891,0.6124454712309573,0.1696093076968949,0.23656942084039795,0.06949670348939926,0.32343617395035673,-0.2614323934556853,0.5532163338122928,0.5157197809391785,0.6696353558372107,0.7327356953714853,0.8128743182318796,0.39514123761915415,0.547461349027415,-0.13602574248137936,0.04027172053207721,0.029377644801763064,0.03190357010938285,0.7513870570284373,1.0,0.8930624191726015,0.028059953043739302,0.02347824835387391,0.020784962462035254,0.24600863749362076,0.12599881996371912,0.0681208369493558,-0.21142895242910673,0.08675242527284743,0.08451670749515722,0.17325759915362546,0.1729788235313872,0.004022163369755656,0.0033415414542990944,0.33177697823457175,0.03389558742322858,-0.007387891060647547,-0.08244611467920371,0.5110777673237367,0.5231827336706222,0.71086628722012,0.049329645450623905,0.7626317283892603,0.03590324549640671,0.23096958868606546,0.08623858793105744,0.15891097237638943,0.019249844131465417,0.026949582455649764
calls_outgoing_to_offnet_duration,-0.1454645577961956,-0.08322995645586122,0.04308461253336997,0.54275306729571,0.15543630204994816,0.21290768903042598,0.06589550948133435,0.2978289866136418,-0.23925550445932206,0.4992841201089313,0.45551011309576256,0.6257992108767821,0.653575826720077,0.8788650029779348,0.3462801985433306,0.5639920047992021,-0.12468629854145868,0.03572860048510507,0.028534941309607275,0.029049220998393504,0.7194582612376837,0.8930624191726015,1.0,0.02389670886127439,0.023680060287593403,0.019746616154521664,0.2192896348243658,0.10550422407809115,0.05829340741222139,-0.1893572006008608,0.09182735761148599,0.09431971419454678,0.14302539017093802,0.1419477705353915,0.003080456331460153,0.003402995847666051,0.30358022970525145,0.027002778046975113,-0.006871702370736888,-0.07734136003826667,0.46601416925150047,0.4627528883535239,0.7786369241365303,0.0447995133793398,0.8680411948070623,0.03458681119514799,0.20519488692677298,0.0940682544309692,0.1303416336162538,0.01596415336005508,0.02519993072566513
calls_outgoing_to_abroad_count,-0.05042623718070386,-0.028203453816551826,0.03624330997440066,0.15477682983098803,0.05310206451954789,0.07906496990985491,0.018666135141070014,0.07686543729019991,-0.07337020502642279,0.08832620657201654,0.12979075030023277,0.3215219675500868,0.1677648044362006,0.12658318977163205,0.13268544887194086,0.09585312243963744,-0.04236501626171029,0.4764846300531462,0.3275359871541106,0.34622501100591335,0.03531923694260476,0.028059953043739302,0.02389670886127439,1.0,0.43887757912531217,0.45563077364081656,0.04413411579981087,0.0480707405942245,0.03387463100326259,-0.07192345265577645,0.014965696797542458,-0.0031699759616167908,0.004570569409097164,0.004273814593288099,0.27268830579459363,0.23811930612647286,0.12367281432244037,0.010442805333306453,0.2468075197525904,-0.025146490801931654,0.10865748907417891,0.14282919382177137,0.12092598451796108,0.292646752716902,0.051491289143781364,0.3786626328070315,0.04847431934073357,0.021541203958979505,0.018066629784161316,0.23671902643880058,0.03679616593526579
